airport,airport_city,airport_state,airport_name,total_flights,total_delays,total_delay_minutes
string,string,string,string,integer,integer,float
ABE,Allentown/Bethlehem/Easton,PA,Lehigh Valley International,44870,10932,1125963.861
ABI,Abilene,TX,Abilene Regional,27044,6623,645120.0472
ABQ,Albuquerque,NM,Albuquerque International Sunport,356418,70701,6385500.408
ACT,Waco,TX,Waco Regional,18054,3576,290404.1036
ACV,Arcata/Eureka,CA,Arcata,36125,10780,1043116.067
AEX,Alexandria,LA,Alexandria International,31888,7571,721788.6945
AGS,Augusta,GA,Augusta Regional at Bush Field,30639,8315,861784.1119
ALB,Albany,NY,Albany International,133262,32780,3260401.977
AMA,Amarillo,TX,Rick Husband Amarillo International,75848,17701,1538725.207
ANC,Anchorage,AK,Ted Stevens Anchorage International,191491,47283,4221028.936
ASE,Aspen,CO,Aspen Pitkin County Sardy Field,38628,11893,887066.4783
ATL,Atlanta,GA,Hartsfield-Jackson Atlanta International,4122124,980419,105069944.8
ATW,Appleton,WI,Outagamie County Regional,43102,11543,1102696.444
AUS,Austin,TX,Austin - Bergstrom International,448560,96271,9303524.834
AVL,Asheville,NC,Asheville Regional,44234,10993,1112598.972
AVP,Scranton/Wilkes-Barre,PA,Wilkes Barre Scranton International,23070,6650,710918.583
AZO,Kalamazoo,MI,Kalamazoo/Battle Creek International,32894,8366,689384.3021
BDL,Hartford,CT,Bradley International,281082,65398,6286555.543
BFL,Bakersfield,CA,Meadows Field,41253,7652,734174.5571
BGR,Bangor,ME,Bangor International,27049,7893,810072.5218
BHM,Birmingham,AL,Birmingham-Shuttlesworth International,206024,46751,4484358.687
BIL,Billings,MT,Billings Logan International,42839,7723,671516.8748
BIS,Bismarck/Mandan,ND,Bismarck Municipal,29449,5997,534650.7318
BMI,Bloomington/Normal,IL,Central Illinois Regional,37619,10322,1040664.132
BNA,Nashville,TN,Nashville International,578516,123393,11865104.3
BOI,Boise,ID,Boise Air Terminal,148456,30279,2841002.805
BOS,Boston,MA,Logan International,1192185,299924,30908471.18
BRO,Brownsville,TX,Brownsville South Padre Island International,21191,4661,427518.8215
BTR,Baton Rouge,LA,Baton Rouge Metropolitan/Ryan Field,92437,23253,2223980.018
BTV,Burlington,VT,Burlington International,64385,17931,1890521.018
BUF,Buffalo,NY,Buffalo Niagara International,254034,63058,6409615.449
BUR,Burbank,CA,Bob Hope,284632,54039,4539090.037
BWI,Baltimore,MD,Baltimore/Washington International Thurgood Marshall,1054087,208587,20414310.43
BZN,Bozeman,MT,Bozeman Yellowstone International,44871,8733,741372.2124
CAE,Columbia,SC,Columbia Metropolitan,96494,26728,2953008.905
CAK,Akron,OH,Akron-Canton Regional,91064,21610,2265324.707
CHA,Chattanooga,TN,Lovell Field,47681,11258,1130849.017
CHS,Charleston,SC,Charleston AFB/International,141190,35102,3389582.096
CID,Cedar Rapids/Iowa City,IA,The Eastern Iowa,79960,20440,1849598.685
CLD,Carlsbad,CA,McClellan-Palomar,23413,3764,275644.4124
CLE,Cleveland,OH,Cleveland-Hopkins International,666353,143523,14703119.86
CLT,Charlotte,NC,Charlotte Douglas International,1258574,255438,22698670.9
CMH,Columbus,OH,Port Columbus International,331462,80381,7856795.524
CMI,Champaign/Urbana,IL,University of Illinois/Willard,27474,8542,906148.0541
COS,Colorado Springs,CO,City of Colorado Springs Municipal,137594,32191,3162293.714
CPR,Casper,WY,Casper/Natrona County International,27741,4731,403176.2101
CRP,Corpus Christi,TX,Corpus Christi International,75568,16952,1515892.54
CRW,Charleston/Dunbar,WV,Yeager,40816,10325,1034909.242
